Seed,MapWidth,MapHeight,NumBuildings,NumSurvivors,useRRTStar,Approach,TimeTaken,UAV1resc,UAV2resc,UAV3resc,UAV4resc,UAV1dist,UAV2dist,UAV3dist,UAV4dist
1,300,300,30,15,0,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
1,300,300,30,15,0,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
1,300,300,30,15,1,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
1,300,300,30,15,1,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
1,300,300,30,25,0,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
1,300,300,30,25,0,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
1,300,300,30,25,1,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
1,300,300,30,25,1,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
1,300,300,60,15,0,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
1,300,300,60,15,0,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
1,300,300,60,15,1,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
1,300,300,60,15,1,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
1,300,300,60,25,0,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
1,300,300,60,25,0,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
1,300,300,60,25,1,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
1,300,300,60,25,1,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
1,500,500,30,15,0,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
1,500,500,30,15,0,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
1,500,500,30,15,1,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
1,500,500,30,15,1,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
1,500,500,30,25,0,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
1,500,500,30,25,0,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
1,500,500,30,25,1,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
1,500,500,30,25,1,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
1,500,500,60,15,0,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
1,500,500,60,15,0,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
1,500,500,60,15,1,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
1,500,500,60,15,1,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
1,500,500,60,25,0,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
1,500,500,60,25,0,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
1,500,500,60,25,1,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
1,500,500,60,25,1,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
2,300,300,30,15,0,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
2,300,300,30,15,0,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
2,300,300,30,15,1,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
2,300,300,30,15,1,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
2,300,300,30,25,0,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
2,300,300,30,25,0,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
2,300,300,30,25,1,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
2,300,300,30,25,1,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
2,300,300,60,15,0,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
2,300,300,60,15,0,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
2,300,300,60,15,1,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
2,300,300,60,15,1,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
2,300,300,60,25,0,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
2,300,300,60,25,0,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
2,300,300,60,25,1,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
2,300,300,60,25,1,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
2,500,500,30,15,0,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
2,500,500,30,15,0,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
2,500,500,30,15,1,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
2,500,500,30,15,1,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
2,500,500,30,25,0,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
2,500,500,30,25,0,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
2,500,500,30,25,1,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
2,500,500,30,25,1,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
2,500,500,60,15,0,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
2,500,500,60,15,0,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
2,500,500,60,15,1,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
2,500,500,60,15,1,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
2,500,500,60,25,0,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
2,500,500,60,25,0,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
2,500,500,60,25,1,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
2,500,500,60,25,1,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
3,300,300,30,15,0,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
3,300,300,30,15,0,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
3,300,300,30,15,1,nearest,381,3,3,6,3,500.401442698312,527.856081416227,1249.43487792379,759.915971824213
3,300,300,30,15,1,centroid,512,3,3,4,5,901.761547674412,758.882321537691,1282.34030554233,1455.90618654284
3,300,300,30,25,0,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
3,300,300,30,25,0,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
3,300,300,30,25,1,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
3,300,300,30,25,1,centroid,600,4,4,7,8,1126.07529926245,977.023449931233,1975.84250225749,1777.36676164982
3,300,300,60,15,0,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
3,300,300,60,15,0,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
3,300,300,60,15,1,nearest,475,3,1,6,5,648.012404922056,136.728627713822,1215.00030728847,1346.07387382262
3,300,300,60,15,1,centroid,550,2,3,5,5,972.503076587954,796.308925741537,1531.35963678091,1817.09074594344
3,300,300,60,25,0,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
3,300,300,60,25,0,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
3,300,300,60,25,1,nearest,521,5,3,9,8,494.116718026465,598.699001326892,1642.80936841741,1713.86272663521
3,300,300,60,25,1,centroid,600,3,5,6,6,1129.92957000113,1082.36109698274,1973.94683157105,1976.75061224198
3,500,500,30,15,0,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
3,500,500,30,15,0,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
3,500,500,30,15,1,nearest,474,3,3,5,4,719.269205109091,939.987615766581,1139.97456302332,1393.31464573075
3,500,500,30,15,1,centroid,600,3,2,4,5,1117.1059796656,1189.45637324451,1610.01530920674,1878.70223782682
3,500,500,30,25,0,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
3,500,500,30,25,0,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
3,500,500,30,25,1,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
3,500,500,30,25,1,centroid,600,3,3,6,5,1189.90979770973,1189.64157396554,1977.95624969349,1977.96999792414
3,500,500,60,15,0,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
3,500,500,60,15,0,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
3,500,500,60,15,1,nearest,530,3,2,4,6,958.306484279311,561.417018802405,1407.61733203146,1085.76536939845
3,500,500,60,15,1,centroid,600,2,3,3,4,1189.98291795583,1187.98459354515,1755.66084914555,1983.94811494698
3,500,500,60,25,0,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
3,500,500,60,25,0,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
3,500,500,60,25,1,nearest,441,4,3,8,10,814.587509202612,533.606530432657,1367.04395045496,1439.96756052312
3,500,500,60,25,1,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
